"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 03 15:09:52 IST 2023","Thu Aug 03 15:10:11 IST 2023","18939","","RegisterUserToApplication","","","","testRegisterUserToApplication",""
"passed","Thu Aug 03 15:09:50 IST 2023","Thu Aug 03 15:10:25 IST 2023","34490","","Complaint","","","","testComplaint",""
"broken","Thu Aug 03 14:56:13 IST 2023","Thu Aug 03 14:56:17 IST 2023","3866","","RegisterHome1","","","","testRegisterHome",""
"passed","Thu Aug 03 15:18:54 IST 2023","Thu Aug 03 15:19:02 IST 2023","7829","","RegisterUserToApplication","","","","testRegisterUserToApplication",""
"broken","Thu Aug 03 13:17:07 IST 2023","Thu Aug 03 13:17:26 IST 2023","19017","","CalenderPop","","","","testPopUp",""
"passed","Thu Aug 03 14:55:58 IST 2023","Thu Aug 03 14:56:03 IST 2023","4596","","RegisterUserToApplication","","","","testRegisterUserToApplication",""
"passed","Thu Aug 03 15:09:52 IST 2023","Thu Aug 03 15:10:17 IST 2023","25080","","RegisterHome1","","","","testRegisterHome",""
"passed","Thu Aug 03 15:20:51 IST 2023","Thu Aug 03 15:21:09 IST 2023","18538","","Complaint","","","","testComplaint",""
"broken","Thu Aug 03 14:55:30 IST 2023","Thu Aug 03 14:55:35 IST 2023","4539","","Complaint","","","","testComplaint",""
"passed","Thu Aug 03 15:20:52 IST 2023","Thu Aug 03 15:21:07 IST 2023","15287","","RegisterHome1","","","","testRegisterHome",""
